title,year,genre,actor,imdb_id,kind,matched_by,rating,votes
The Woods,2020.0,Polish TV Programmes,"Grzegorz Damięcki,Agnieszka Grochowska,Hubert Miłkowski",1910645.0,tv series,year and actor match,6.6,2962.0
My Country: The New Age,2019.0,Korean Programmes,"Yang Se-Jong,Woo Do‑hwan,Kim Seol-hyun",10850888.0,tv series,year and actor match,8.4,884.0
An Easy Girl,2019.0,International Films,"Mina Farid,Zahia Dehar,Benoît Magimel",9632590.0,movie,year and actor match,5.5,1496.0
The Week Of,2018.0,Comedies,"Adam Sandler,Chris Rock,Steve Buscemi",6821012.0,movie,year and actor match,5.1,17594.0
Explained,2018.0,Social & Cultural Documentaries,,8005374.0,tv series,year match,8.1,6064.0
QB1: Beyond the Lights,2017.0,Sports & Fitness,"Jake Fromm,Tayvon Bowers,Tate Martell",5771332.0,tv series,year and actor match,7.8,664.0
Marvel's Jessica Jones,2015.0,Action & Adventure Programmes,"Krysten Ritter,David Tennant,Rachael Taylor",2357547.0,tv series,year and actor match,7.9,188486.0
Mortel,2019.0,French TV Programmes,"Carl Malapa,Nemo Schiffman,Manon Bresch",8403570.0,tv series,year and actor match,6.5,702.0
Battlefish,2018.0,Action & Adventure Programmes,,8893566.0,tv series,year match,7.2,300.0
Blown Away,2019.0,Canadian TV Programmes,,9908860.0,tv series,year match,6.9,1383.0
Criminal: Spain,2019.0,Mystery Programmes,"Emma Suárez,Jorge Bosch,Álvaro Cervantes",10986050.0,tv series,year and actor match,6.9,2497.0
Thieves of the Wood,2018.0,International Programmes,"Matteo Simoni,Tom Van Dyck,Stef Aerts",5766086.0,tv series,year and actor match,6.7,1411.0
Locked Up,2015.0,LGBTQ TV Programmes,"Najwa Nimri,Maggie Civantos,Itziar Castro",4524056.0,tv series,year and actor match,8.3,13868.0
Murder Mystery,2019.0,Mysteries,"Adam Sandler,Jennifer Aniston,Luke Evans",1618434.0,movie,year and actor match,6.0,94003.0
Sextuplets,2019.0,Comedies,"Marlon Wayans,Bresha Webb,Michael Ian Black",8976710.0,movie,year and actor match,4.4,6782.0
Salt Fat Acid Heat,2018.0,Food & Travel TV,Samin Nosrat,8772088.0,tv series,year and actor match,7.7,1614.0
She,2020.0,International Programmes,"Aaditi Pohankar,Vijay Varma,Vishwas Kini",11905720.0,tv series,year and actor match,6.5,2283.0
Welcome to the Family,2018.0,Comedy Programmes,"Melani Olivares,Iván Massagué,Yolanda Ramos",7490342.0,tv series,year and actor match,6.6,296.0
Criminal: Germany,2019.0,Mystery Programmes,"Eva Meckbach,Sylvester Groth,Florence Kasumba",10986056.0,tv series,year and actor match,7.7,3097.0
Erased,2017.0,Mystery Programmes,"Yuki Furukawa,Mio Yuki,Jin Shirasu",7573686.0,tv series,year and actor match,7.9,2622.0
Warrior Nun,2020.0,Action & Adventure Programmes,"Alba Baptista,Toya Turner,Lorena Andrea",9059350.0,tv series,year and actor match,6.9,15423.0
October Faction,2020.0,TV Shows Based on Comics,"Tamara Taylor,J.C. MacKenzie,Aurora Burghart",8826128.0,tv series,year and actor match,6.1,7532.0
The End of the F***ing World,2017.0,Award-winning TV Programmes,"Jessica Barden,Alex Lawther,Naomi Ackie",6257970.0,tv series,year and actor match,8.1,133956.0
The I-Land,2019.0,Action & Adventure Programmes,"Natalie Martinez,Kate Bosworth,Ronald Peet",9067020.0,tv series,year and actor match,4.5,13707.0
