kind,series_name,series_imdb_id,season,episode,episode_imdb_id,original_air_date,rating,votes,runtime,genres
movie,An Easy Girl,9632590.0,,,,13 Aug 2020 (USA),5.5,1519,92,Comedy|Drama
movie,The Week Of,6821012.0,,,,27 Apr 2018 (USA),5.1,17594,116,Comedy
movie,Murder Mystery,1618434.0,,,,14 Jun 2019 (USA),6.0,94014,97,Action|Comedy|Crime|Mystery|Romance
movie,Sextuplets,8976710.0,,,,16 Aug 2019 (USA),4.4,6784,97,Comedy
movie,The Kissing Booth,3799232.0,,,,11 May 2018 (USA),6.0,60140,105,Comedy|Romance
movie,#REALITYHIGH,6119504.0,,,,08 Sep 2017 (USA),5.2,5332,99,Comedy|Drama|Romance
tv movie,Dragons: Rescue Riders: Secrets of the Songwing,12599350.0,,,,24 Jul 2020 (USA),6.7,56,46,Animation|Adventure|Comedy|Family
movie,Jeff Dunham: Relative Disaster,7364706.0,,,,12 Sep 2017 (USA),6.4,1082,70,Comedy
movie,Jo Koy: Comin' in Hot,10377036.0,,,,12 Jun 2019 (USA),7.3,692,60,Comedy
movie,Extraction,8936646.0,,,,24 Apr 2020 (USA),6.7,138881,116,Action|Thriller
movie,To All the Boys I've Loved Before,3846674.0,,,,17 Aug 2018 (USA),7.1,81270,99,Comedy|Drama|Romance
movie,The Ridiculous 6,2479478.0,,,,11 Dec 2015 (USA),4.8,42748,119,Action|Adventure|Comedy|Western
movie,Someone Great,8075260.0,,,,19 Apr 2019 (USA),6.2,16338,92,Comedy|Romance
episode,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,4294938.0,,,,19 Dec 2014,7.2,1742,25,Animation|Comedy|Drama
movie,The Irishman,1302006.0,,,,27 Nov 2019 (USA),7.9,302221,209,Biography|Crime|Drama
movie,George Lopez: We'll Do It for Half,12358794.0,,,,30 Jun 2020 (USA),5.4,304,51,Comedy
movie,Bill Burr: Paper Tiger,10847306.0,,,,10 Sep 2019 (USA),8.2,7864,67,Comedy
movie,Eurovision Song Contest: The Story of Fire Saga,8580274.0,,,,26 Jun 2020 (USA),6.5,58572,123,Comedy|Music
