title,imdb_id,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,count_9,count_10,count_total,All_All_mean,All_All_rating_count,All_u18_mean,All_u18_rating_count,All_b18_29_mean,All_b18_29_rating_count,All_b30_44_mean,All_b30_44_rating_count,All_o45_mean,All_o45_rating_count,Male_All_mean,Male_All_rating_count,Male_u18_mean,Male_u18_rating_count,Male_b18_29_mean,Male_b18_29_rating_count,Male_b30_44_mean,Male_b30_44_rating_count,Male_o45_mean,Male_o45_rating_count,Female_All_mean,Female_All_rating_count,Female_u18_mean,Female_u18_rating_count,Female_b18_29_mean,Female_b18_29_rating_count,Female_b30_44_mean,Female_b30_44_rating_count,Female_o45_mean,Female_o45_rating_count,top_1k_mean,top_1k_rating_count,us_mean,us_rating_count,non_us_mean,non_us_rating_count
The Woods,1910645,216.0,199.0,586.0,852.0,568.0,255.0,101.0,59.0,50.0,79.0,2965.0,6.6,2965.0,5.6,6.0,6.3,299.0,6.5,980.0,6.6,539.0,6.5,1288.0,3.7,3.0,6.2,152.0,6.5,607.0,6.6,375.0,6.6,664.0,8.0,1.0,6.4,117.0,6.6,329.0,6.6,147.0,5.5,25.0,5.8,219.0,6.6,1164.0
My Country: The New Age,10850888,299.0,254.0,176.0,88.0,27.0,22.0,7.0,3.0,3.0,6.0,885.0,8.4,885.0,9.5,2.0,8.3,119.0,8.3,230.0,8.3,135.0,8.1,342.0,10.0,1.0,8.3,67.0,8.2,146.0,8.0,77.0,8.6,216.0,9.0,1.0,8.4,47.0,8.5,81.0,8.7,50.0,6.1,15.0,8.2,92.0,8.2,246.0
An Easy Girl,9632590,40.0,34.0,124.0,290.0,369.0,300.0,173.0,78.0,42.0,90.0,1540.0,5.5,1540.0,3.8,4.0,5.5,211.0,5.6,610.0,5.6,306.0,5.5,960.0,3.0,2.0,5.5,137.0,5.5,491.0,5.6,272.0,5.7,211.0,4.5,2.0,5.5,63.0,5.8,100.0,5.4,27.0,5.1,49.0,5.9,87.0,5.5,850.0
The Week Of,6821012,851.0,377.0,1099.0,2343.0,3588.0,3320.0,2174.0,1393.0,1007.0,1443.0,17595.0,5.1,17595.0,5.8,30.0,5.2,3260.0,5.1,6856.0,5.0,1794.0,5.1,10070.0,5.4,22.0,5.2,2297.0,5.1,5434.0,5.0,1389.0,5.2,2908.0,7.5,7.0,5.3,873.0,5.1,1309.0,5.2,368.0,4.4,143.0,5.3,2863.0,5.0,6743.0
Explained,8005374,1048.0,1298.0,2182.0,929.0,217.0,99.0,47.0,35.0,32.0,178.0,6065.0,8.1,6065.0,7.9,12.0,8.2,1890.0,8.0,1770.0,7.3,283.0,8.0,3077.0,7.8,9.0,8.1,1220.0,8.0,1323.0,7.2,226.0,8.2,1188.0,9.0,2.0,8.3,605.0,8.1,413.0,8.0,48.0,6.5,54.0,7.8,566.0,8.0,2528.0
QB1: Beyond the Lights,5771332,102.0,122.0,215.0,149.0,40.0,13.0,4.0,2.0,3.0,14.0,664.0,7.8,664.0,10.0,1.0,7.8,110.0,7.6,206.0,8.0,58.0,7.8,397.0,10.0,1.0,7.8,95.0,7.7,190.0,8.0,53.0,7.2,37.0,,0.0,7.6,9.0,6.5,14.0,8.0,5.0,5.1,8.0,7.9,149.0,7.6,148.0
Marvel's Jessica Jones,2357547,34975.0,43035.0,55303.0,30292.0,11739.0,4932.0,2299.0,1507.0,1090.0,3316.0,188488.0,7.9,188488.0,7.9,166.0,8.1,43559.0,7.8,59589.0,7.8,16853.0,7.9,103472.0,7.8,121.0,8.1,32299.0,7.8,46341.0,7.8,13280.0,8.2,28839.0,7.8,29.0,8.3,10292.0,8.1,12147.0,8.1,3231.0,7.2,421.0,8.1,24752.0,7.8,63707.0
Mortel,8403570,142.0,74.0,141.0,132.0,63.0,50.0,21.0,20.0,16.0,43.0,702.0,6.5,702.0,,0.0,6.8,124.0,5.9,175.0,6.4,83.0,6.2,323.0,,0.0,6.3,77.0,5.8,133.0,6.3,63.0,7.2,112.0,,0.0,7.4,39.0,6.6,39.0,6.7,17.0,4.4,16.0,5.6,67.0,6.2,208.0
Battlefish,8893566,85.0,42.0,53.0,57.0,24.0,11.0,7.0,2.0,4.0,15.0,300.0,7.2,300.0,,0.0,6.9,45.0,7.2,82.0,6.6,39.0,7.1,170.0,,0.0,6.9,43.0,7.2,67.0,6.2,30.0,6.7,25.0,,0.0,7.0,2.0,6.2,12.0,7.6,6.0,5.0,1.0,6.7,58.0,6.9,78.0
Blown Away,9908860,162.0,145.0,259.0,283.0,131.0,78.0,43.0,41.0,63.0,178.0,1383.0,6.9,1383.0,,0.0,7.2,200.0,7.0,419.0,6.4,184.0,6.6,526.0,,0.0,6.9,100.0,6.8,262.0,6.0,115.0,7.4,346.0,,0.0,7.4,85.0,7.4,142.0,7.4,66.0,5.2,13.0,6.5,285.0,7.1,341.0
